state,holc_grade,HOLC_pct_asian,total_pct_asian,diff_btwn_total_pct_and_holc_pct
AL,A,1.0525,1.3590361445783132,0.30653614457831324
AZ,A,3.39,3.3078455254167234,-0.08215447458327674
AR,A,1.815,1.5171185949049302,-0.2978814050950698
CA,A,10.192857142857143,14.490621850697252,4.297764707840109
CO,A,1.475,3.1753283084528254,1.7003283084528253
CT,A,8.313333333333333,4.51059194858624,-3.802741384747093
FL,A,2.32,2.733164045149384,0.4131640451493843
GA,A,2.1525,3.9839205632301207,1.8314205632301208
IL,A,2.0416666666666665,5.469768878295834,3.428102211629167
IN,A,1.474,2.2800145761069763,0.8060145761069764
IA,A,2.865,2.4125117693600395,-0.4524882306399607
KS,A,1.6925000000000001,2.947587001125521,1.2550870011255209
KY,A,1.3599999999999999,1.4652784458352026,0.10527844583520274
LA,A,1.67,1.732412707246993,0.062412707246993104
MD,A,6.885,6.282364997421433,-0.602635002578567
MA,A,3.415,6.604371939024485,3.1893719390244852
MI,A,1.7927272727272727,3.12807536979699,1.3353480970697171
MN,A,9.46,4.820470584598063,-4.639529415401938
MS,A,1.84,0.9919857070959899,-0.8480142929040102
MO,A,1.48,1.9763436316014489,0.4963436316014489
NE,A,3.12,2.3846073088958306,-0.7353926911041695
NH,A,6.734999999999999,2.6837293898780827,-4.051270610121916
NJ,A,1.6666666666666667,9.462946625123628,7.796279958456961
NY,A,4.21,8.418041827337884,4.208041827337884
NC,A,1.712,2.854316019014745,1.1423160190147452
OH,A,1.72,2.2152741772759863,0.4952741772759863
OK,A,2.6799999999999997,2.167348526648478,-0.5126514733515215
PA,A,3.273,3.4110383980649694,0.13803839806496931
SC,A,1.4466666666666665,1.5695687106811136,0.12290204401444704
SD,A,4.3,1.4503157454648201,-2.8496842545351795
TN,A,2.84,1.7527762724172038,-1.087223727582796
TX,A,3.5775,4.802660612969402,1.2251606129694017
UT,A,2.455,2.324201898188093,-0.13079810181190688
VA,A,1.1566666666666667,6.400560272130826,5.243893605464159
WA,A,4.056666666666667,8.52679465599295,4.470127989326283
WV,A,2.18,0.7991503902757104,-1.3808496097242897
WI,A,3.0366666666666666,2.7948357336122163,-0.24183093305445036
