state,holc_grade,HOLC_pct_black,total_pct_black,diff_btwn_total_pct_and_holc_pct
AL,A,12.49,26.64030761343245,14.150307613432451
AZ,A,4.32,4.502816121699236,0.18281612169923545
AR,A,13.44,15.321284136335297,1.8812841363352977
CA,A,3,5.788965274654647,2.7889652746546467
CO,A,1.8450000000000002,4.164571580128081,2.319571580128081
CT,A,7.6,10.724701083110448,3.1247010831104483
FL,A,1.8833333333333333,16.07066068895277,14.187327355619438
GA,A,16.6425,31.613498353061132,14.970998353061134
IL,A,8.706666666666667,14.201255991187905,5.494589324521238
IN,A,3.828,9.400163793676377,5.572163793676378
IA,A,6.925,3.7062813663797005,-3.2187186336202993
KS,A,5.35,5.850613539509361,0.5006135395093612
KY,A,2.93,8.067516405742166,5.137516405742167
LA,A,10.505,32.222263194837794,21.71726319483779
MD,A,41.045,29.891002397801042,-11.15399760219896
MA,A,4.470000000000001,7.625034066592871,3.1550340665928704
MI,A,11.459999999999999,13.791043188515308,2.3310431885153093
MN,A,1.13,6.408246931989881,5.278246931989881
MS,A,29.14,37.71666703524774,8.576667035247738
MO,A,2.5,11.488031764596037,8.988031764596037
NE,A,4.9,4.826459817891319,-0.0735401821086814
NH,A,3.8099999999999996,1.5982209351662013,-2.2117790648337983
NJ,A,23.71,13.458147167377202,-10.251852832622799
NY,A,9.00125,15.662277934464486,6.661027934464485
NC,A,6.0920000000000005,21.439723188083324,15.347723188083323
OH,A,12.26909090909091,12.407925701715694,0.1388347926247846
OK,A,7.82,7.28109497644214,-0.5389050235578603
PA,A,8.954,11.184463469186252,2.230463469186251
SC,A,2.9833333333333334,26.771378937963348,23.788045604630014
SD,A,7.57,2.01358084531114,-5.556419154688861
TN,A,2.585,16.75977545385876,14.17477545385876
TX,A,14.115,12.130598591918092,-1.984401408081908
UT,A,0.8400000000000001,1.1898872660201598,0.34988726602015974
VA,A,6.18,19.18030748966552,13.00030748966552
WA,A,1.4066666666666667,3.804415576382135,2.3977489097154683
WV,A,4.89,3.6862276833002716,-1.203772316699728
WI,A,6.388333333333333,6.410260838210681,0.021927504877348625
